station_lines,GTFS Stop ID
CHAMBERS ST - 456JZ,M21
CHAUNCEY ST - JZ,J28
CHRISTOPHER ST - 1,133
CHURCH AV - 25,244
CHURCH AV - BQ,D28
CHURCH AV - FG,F27
CITY HALL - NRW,R24
CLARK ST - 23,231
CLASSON AV - G,G34
CLEVELAND ST - J,J22
CLINTON-WASH AV - C,A44
CLINTON-WASH AV - G,G35
CONEY IS-STILLW - DFNQ,D43
CORTELYOU RD - BQ,D30
CORTLANDT ST - NRW,R25
COURT SQ - 7,719
COURT SQ - EGM,G2
COURT SQ-23 ST - EGM,G22
CRESCENT ST - JZ,J20
CROWN HTS-UTICA - 34,250
CYPRESS AV - 6,617
CYPRESS HILLS - J,J19
DEKALB AV - BDNQR,R30
DEKALB AV - L,L16
DELANCEY/ESSEX - FJMZ,F15
DITMAS AV - F,F29
DYCKMAN ST - 1,109
DYCKMAN ST - A,A03
E 143/ST MARY'S - 6,616
E 149 ST - 6,615
E 180 ST - 25,213
EAST 105 ST - L,L28
EAST BROADWAY - F,F16
EASTCHSTER/DYRE - 5,501
EASTN PKWY-MUSM - 23,238
ELDER AV - 6,611
ELMHURST AV - MR,G13
EUCLID AV - AC,A55
FAR ROCKAWAY - A,H11
FLATBUSH AV-B.C - 25,247
FLUSHING AV - G,G31
FLUSHING AV - JM,M12
FLUSHING-MAIN - 7,701
FORDHAM RD - 4,407
FORDHAM RD - BD,D05
FOREST AVE - M,M05
FOREST HILLS 71 - EFMR,G08
FRANKLIN AV - 2345S,239
FRANKLIN AV - ACS,A45
FRANKLIN ST - 1,136
FREEMAN ST - 25,216
FRESH POND RD - M,M04
FT HAMILTON PKY - D,B13
FT HAMILTON PKY - FG,F26
FT HAMILTON PKY - N,N03
FULTON ST - 2345ACJZ,A38
FULTON ST - G,G36
GATES AV - JZ,J30
GRAHAM AV - L,L11
GRAND ARMY PLAZ - 23,237
GRAND ST - BD,D22
GRAND ST - L,L12
GRAND-NEWTOWN - MR,G12
GRANT AV - A,A57
GRD CNTRL-42 ST - 4567S,631
GREENPOINT AV - G,G26
GUN HILL RD - 25,208
GUN HILL RD - 5,503
HALSEY ST - J,J29
HALSEY ST - L,L19
HARLEM 148 ST - 3,301
HEWES ST - JM,M14
HIGH ST - AC,A40
HOUSTON ST - 1,134
HOWARD BCH JFK - A,H03
HOYT ST - 23,233
HOYT-SCHER - ACG,A42
HUNTERS PT AV - 7,720
HUNTS POINT AV - 6,613
INTERVALE AV - 25,218
INWOOD-207 ST - A,A02
JACKSON AV - 25,220
JAMAICA 179 ST - F,F01
JAMAICA CENTER - EJZ,G05
JAMAICA VAN WK - E,G07
JAY ST-METROTEC - ACF,A41
JAY ST-METROTEC - R,R29
JEFFERSON ST - L,L15
JFK JAMAICA CT1 - E,G05
JKSN HT-ROOSVLT - 7EFMR,G14
JUNCTION BLVD - 7,707
JUNIUS ST - 3,254
KEW GARDENS - EF,F06
KINGS HWY - BQ,D35
KINGS HWY - F,F35
KINGS HWY - N,N08
KINGSBRIDGE RD - 4,406
KINGSBRIDGE RD - BD,D04
KINGSTON AV - 3,249
KINGSTON-THROOP - C,A47
KNICKERBOCKER - M,M09
KOSCIUSZKO ST - J,J31
LAFAYETTE AV - C,A43
LEXINGTON AV/53 - 6EM,F11
LEXINGTON AV/63 - F,B08
LIBERTY AV - C,A52
LIVONIA AV - L,L26
LONGWOOD AV - 6,614
LORIMER ST - GL,L10
LORIMER ST - JM,M13
MARBLE HILL-225 - 1,106
MARCY AV - JMZ,M16
METROPOLITAN AV - GL,G29
METROPOLITAN AV - M,M01
METS-WILLETS PT - 7,702
MIDDLETOWN RD - 6,603
MONTROSE AV - L,L13
MORGAN AV - L,L14
MORISN AV/SNDVW - 6,610
MORRIS PARK - 5,505
MOSHOLU PKWY - 4,402
MT EDEN AV - 4,411
MYRTLE AV - JMZ,M11
MYRTLE-WILLOUGH - G,G32
MYRTLE-WYCKOFF - LM,L17
NASSAU AV - G,G28
NECK RD - BQ,D38
NEPTUNE AV - F,F39
NEREID AV - 25,204
NEVINS ST - 2345,234
NEW LOTS - L,L27
NEW LOTS AV - 3,257
NEW UTRECHT AV - DN,N04
NEWKIRK AV - 25,246
NEWKIRK PLAZA - BQ,D31
NORTHERN BLVD - MR,G16
NORWOOD 205 ST - D,D01
NORWOOD AV - JZ,J21
NOSTRAND AV - 3,248
NOSTRAND AV - AC,A46
